ALABAMA,AL,54,58,67,74,82,88,91,91,85,75,65,56,1,40.28
ALASKA,AK,23,27,34,44,56,63,65,64,55,40,28,25,1,40.85
ARIZONA,AZ,67,71,77,85,95,104,106,104,100,89,76,66,0,53.47
ARKANSAS,AR,51,55,64,73,81,89,92,93,86,75,63,52,1,36.83
CALIFORNIA,CA,67,67,67,69,70,73,77,79,78,75,71,67,0,61.14
COLORADO,CO,44,46,54,61,71,81,88,86,77,65,52,43,0,52.57
CONNECTICUT,CT,39,42,51,63,73,81,86,84,76,65,54,43,0,59.23
DELAWARE,DE,40,44,52,64,73,82,86,84,77,66,56,45,0,52.25
FLORIDA,FL,76,78,80,83,87,89,91,91,89,86,82,78,1,50.58
GEORGIA,GA,52,57,64,72,81,86,90,88,82,73,64,54,0,52.73
HAWAII,HI,80,80,81,83,85,87,88,89,89,87,84,81,0,69.58
IDAHO,ID,38,45,55,62,72,81,91,90,79,65,48,38,1,59.58
ILLINOIS,IL,32,36,46,59,70,81,84,82,75,63,48,36,0,50.14
INDIANA,IN,36,40,52,63,73,82,85,84,78,65,52,39,1,47.96
IOWA,IA,31,35,47,62,73,82,85,83,76,63,46,32,1,59.65
KANSAS,KS,38,41,53,65,74,83,89,87,80,68,53,41,1,49.16
KENTUCKY,KY,41,46,55,66,74,83,86,86,79,67,55,44,1,38.29
LOUISIANA,LA,62,65,72,78,85,89,91,91,87,80,72,64,1,38.15
MAINE,ME,31,35,42,53,64,73,79,78,70,59,48,37,0,50.12
MARYLAND,MD,42,46,54,65,75,85,89,87,80,68,58,46,0,61.78
MASSACHUSETTS,MA,36,39,45,56,66,76,81,80,72,61,51,41,0,57.3
MICHIGAN,MI,31,32,42,55,67,77,82,80,73,60,46,35,1,47.27
MINNESOTA,MN,24,29,41,58,69,79,83,80,72,58,41,27,0,65.87
MISSISSIPPI,MS,51,57,65,73,81,88,91,91,85,75,65,54,1,39.52
MISSOURI,MO,35,40,52,64,74,83,87,86,78,66,51,38,1,45.79
MONTANA,MT,25,32,45,60,69,78,86,85,73,59,41,28,1,47.25
NEBRASKA,NE,32,37,50,63,73,84,88,86,77,64,48,36,1,59.06
NEVADA,NV,58,62,70,78,89,99,104,102,94,81,66,57,0,53.67
NEW HAMPSHIRE,NH,29,33,42,54,67,76,80,78,70,59,46,33,0,53.36
NEW JERSEY,NJ,36,40,48,58,68,77,83,81,74,63,52,42,0,64.1
NEW MEXICO,NM,47,53,60,69,79,88,90,87,81,69,56,46,0,47.03
NEW YORK,NY,39,42,50,60,71,79,85,83,76,65,54,44,0,54.86
NORTH CAROLINA,NC,47,50,58,67,75,82,85,84,77,68,58,49,1,49.19
NORTH DAKOTA,ND,18,24,36,56,69,77,83,81,71,56,37,22,1,60.02
OHIO,OH,39,44,55,65,75,83,87,85,79,67,55,44,1,48.37
OKLAHOMA,OK,50,55,63,72,80,88,94,93,85,73,62,51,1,37.66
OREGON,OR,47,51,57,61,68,74,81,81,76,64,53,46,0,43.67
PENNSYLVANIA,PA,40,44,53,64,74,83,87,85,78,67,56,45,1,50.16
RHODE ISLAND,RI,37,40,48,59,68,78,83,81,74,63,53,42,0,50.96
SOUTH CAROLINA,SC,59,63,70,76,83,88,91,89,85,77,70,62,1,48.78
SOUTH DAKOTA,SD,22,27,39,57,69,78,84,82,72,58,39,25,1,58.53
TENNESSEE,TN,50,55,64,73,81,89,92,91,85,74,63,52,1,39.21
TEXAS,TX,62,65,72,80,87,92,96,97,91,82,71,63,1,51.04
UTAH,UT,38,44,53,61,71,82,90,89,78,65,50,40,1,69.42
VERMONT,VT,27,31,40,55,67,76,81,79,70,57,46,33,0,55.59
VIRGINIA,VA,43,47,56,67,75,84,88,87,80,68,58,47,0,56.27
WASHINGTON,WA,45,48,52,58,64,69,72,73,67,59,51,47,0,55.6
WEST VIRGINIA,WV,42,47,56,68,75,82,85,84,78,68,57,46,1,30.58
WISCONSIN,WI,24,28,39,54,66,75,80,78,70,57,42,29,1,54.32
WYOMING,WY,40,40,47,55,65,75,83,81,72,59,47,38,1,49.26
DISTRICT OF COLUMBIA,DC,42,44,53,64,75,83,87,84,78,67,55,45,0,56.78
PUERTO RICO,PR,83,84,85,86,87,89,88,89,89,88,86,84,0,43.58
VIRGIN ISLANDS,VI,83,83,83,84,85,88,88,89,88,88,86,84,0,65.45
GUAM,TT,86,86,87,88,89,89,88,88,88,88,88,87,0,67.54
